Station_MAC,First_time_seen,Last_time_seen,Power,packets,BSSID,Probed_ESSIDs,OUI
B6:29:C3:67:05:31,1690537877,1690537877,-55,1,(not associated),Not Probing,B6:29:C3
D6:9C:DF:69:91:4A,1690537877,1690537877,-55,1,(not associated),HONOR 30,D6:9C:DF
16:81:F4:33:83:CE,1690537877,1690537877,-55,1,(not associated),iPhone (Максим),16:81:F4
16:09:3C:D2:2A:67,1690537877,1690537877,-59,2,(not associated),Galaxy A31CAED,16:09:3C
E2:AB:7A:FF:38:21,1690537877,1690537877,-57,1,(not associated),iPhone (Дима ),E2:AB:7A
F2:56:20:69:16:A1,1690537877,1690537877,-57,1,(not associated),Not Probing,F2:56:20
32:1F:A3:B0:2D:5C,1690537877,1690537877,-57,1,(not associated),iPhone (Максим),32:1F:A3
4E:59:3C:95:66:9A,1690537877,1690537877,-61,1,(not associated),HONOR 30,4E:59:3C
36:86:42:FF:27:E9,1690537879,1690537879,-49,1,(not associated),Not Probing,36:86:42
62:9E:96:F7:9E:6E,1690537880,1690537880,-61,1,(not associated),Not Probing,62:9E:96
B6:A3:E6:10:2C:AF,1690537881,1690537881,-63,1,(not associated),Not Probing,B6:A3:E6
72:41:6E:01:7F:34,1690537881,1690537881,-47,1,(not associated),Not Probing,72:41:6E
FA:B0:72:F6:88:BC,1690537881,1690537881,-67,1,(not associated),Not Probing,FA:B0:72
7E:01:27:26:E6:31,1690537882,1690537882,-49,2,(not associated),Not Probing,7E:01:27
EA:16:71:F9:83:50,1690537882,1690537882,-57,1,(not associated),Not Probing,EA:16:71
16:2D:4D:10:FD:87,1690537882,1690537882,-61,2,(not associated),region,16:2D:4D
7E:D7:0E:64:19:AF,1690537885,1690537886,-59,7,(not associated),Not Probing,7E:D7:0E
72:55:89:94:99:2C,1690537886,1690537886,-59,1,(not associated),HONOR 30,72:55:89
FA:CF:84:9D:8A:69,1690537886,1690537886,-55,1,(not associated),Galaxy A31CAED,FA:CF:84
46:B1:12:AA:4D:67,1690537886,1690537886,-57,1,(not associated),Not Probing,46:B1:12
02:E8:BA:97:DA:59,1690537886,1690537886,-61,1,(not associated),iPhone (Максим),02:E8:BA
FA:5A:7E:C6:7A:38,1690537886,1690537886,-59,1,(not associated),Not Probing,FA:5A:7E
8A:81:A5:B7:0A:47,1690537886,1690537886,-59,1,(not associated),iPhone (Дима ),8A:81:A5
FE:D3:A5:6B:E8:52,1690537886,1690537886,-61,1,(not associated),Galaxy A31CAED,FE:D3:A5
26:35:E2:E5:0C:95,1690537887,1690537887,-59,1,(not associated),Not Probing,26:35:E2
16:A1:EF:C1:27:9F,1690537887,1690537887,-51,1,(not associated),Not Probing,16:A1:EF
AE:42:7A:FE:F3:22,1690537887,1690537887,-43,1,(not associated),Not Probing,AE:42:7A
76:99:EB:15:5C:69,1690537887,1690537887,-55,1,(not associated),Not Probing,76:99:EB
32:80:AD:76:38:49,1690537888,1690537888,-47,1,(not associated),Not Probing,32:80:AD
7E:18:C4:4D:E7:70,1690537888,1690537888,-53,3,(not associated),Not Probing,7E:18:C4
A6:91:15:87:C7:6B,1690537891,1690537891,-57,1,(not associated),Not Probing,A6:91:15
0A:E2:F4:06:4E:30,1690537891,1690537891,-63,1,(not associated),Not Probing,0A:E2:F4
62:EB:B7:C5:F0:FE,1690537891,1690537891,-55,1,(not associated),iPhone (2),62:EB:B7
EE:9A:E5:BE:2C:D5,1690537891,1690537891,-59,1,(not associated),Not Probing,EE:9A:E5
DA:CE:A9:49:CE:02,1690537892,1690537892,-63,1,(not associated),Not Probing,DA:CE:A9
46:53:6B:7C:23:07,1690537892,1690537892,-63,1,(not associated),iPhone (2),46:53:6B
D6:CE:4D:C8:14:7B,1690537893,1690537893,-47,2,(not associated),Not Probing,D6:CE:4D
AA:DF:2A:AC:22:FD,1690537894,1690537894,-37,2,(not associated),Not Probing,AA:DF:2A
F6:95:01:D2:50:87,1690537894,1690537894,-47,1,(not associated),Not Probing,F6:95:01
E2:04:BF:6A:D5:8D,1690537894,1690537894,-41,2,(not associated),Not Probing,E2:04:BF
1E:D7:1C:C7:3C:D9,1690537894,1690537894,-47,2,(not associated),Not Probing,1E:D7:1C
FA:65:17:CA:6F:6E,1690537894,1690537894,-63,2,(not associated),iPhone (Максим),FA:65:17
66:18:04:1D:F4:6A,1690537894,1690537894,-63,2,(not associated),Galaxy A31CAED,66:18:04
3A:1E:5B:38:CF:9B,1690537894,1690537894,-59,2,(not associated),iPhone (Дима ),3A:1E:5B
5A:E4:95:E2:1B:6A,1690537894,1690537894,-63,1,(not associated),Avenue611,5A:E4:95
32:6B:41:E6:8E:8A,1690537894,1690537894,-59,1,(not associated),Not Probing,32:6B:41
DA:17:48:28:A6:B8,1690537894,1690537894,-59,1,(not associated),Not Probing,DA:17:48
52:B8:2E:78:8C:72,1690537894,1690537894,-39,1,(not associated),Not Probing,52:B8:2E
82:CB:15:A4:C4:06,1690537894,1690537894,-61,1,(not associated),Not Probing,82:CB:15
4E:B4:B8:BB:65:57,1690537894,1690537894,-55,1,(not associated),iPhone (Максим),4E:B4:B8
D6:4E:0E:21:28:0A,1690537894,1690537894,-59,1,(not associated),HONOR 30,D6:4E:0E
12:D0:EE:4A:F1:7D,1690537894,1690537894,-57,1,(not associated),iPhone (Дима ),12:D0:EE
2E:04:04:F7:4C:38,1690537894,1690537894,-61,1,(not associated),Avenue611,2E:04:04
5A:BA:C6:E1:4E:E5,1690537894,1690537894,-55,1,(not associated),Not Probing,5A:BA:C6
3A:00:9C:B3:74:91,1690537894,1690537894,-71,1,(not associated),Galaxy A31CAED,3A:00:9C
CA:6F:04:DE:FA:1B,1690537895,1690537895,-43,1,(not associated),Not Probing,CA:6F:04
46:63:73:EA:BE:F4,1690537896,1690537896,-61,1,(not associated),Not Probing,46:63:73
B6:AA:B8:AB:D3:5E,1690537896,1690537896,-61,1,(not associated),region,B6:AA:B8
CE:60:33:41:DD:0E,1690537896,1690537896,-59,2,(not associated),region,CE:60:33
CE:9B:E6:7C:59:A9,1690537896,1690537896,-59,1,(not associated),region,CE:9B:E6
3E:C7:10:16:05:0F,1690537896,1690537896,-57,2,(not associated),region,3E:C7:10
FA:88:0B:C8:E4:D9,1690537896,1690537896,-59,1,(not associated),region,FA:88:0B
9E:C8:E1:B2:B8:97,1690537897,1690537897,-65,1,(not associated),Not Probing,9E:C8:E1
FE:67:0F:F3:23:B9,1690537899,1690537899,-47,1,(not associated),Not Probing,FE:67:0F
B2:E7:09:5E:D7:3A,1690537899,1690537899,-65,1,(not associated),Not Probing,B2:E7:09
1A:0C:DF:0B:51:94,1690537899,1690537899,-49,1,(not associated),Not Probing,1A:0C:DF
2A:E9:32:F5:26:1F,1690537900,1690537901,-65,3,(not associated),Not Probing,2A:E9:32
FA:5B:8F:00:A6:1D,1690537900,1690537900,-47,1,(not associated),Not Probing,FA:5B:8F
BE:9E:CA:04:B1:0B,1690537900,1690537900,-43,1,(not associated),Not Probing,BE:9E:CA
06:CE:0B:EE:66:2E,1690537901,1690537902,-53,12,(not associated),Not Probing,06:CE:0B
AA:34:C6:D1:1A:29,1690537908,1690537908,-59,1,(not associated),Not Probing,AA:34:C6
A6:94:89:F9:5B:13,1690537908,1690537908,-61,2,(not associated),Not Probing,A6:94:89
52:93:C6:1C:ED:06,1690537910,1690537912,-29,9,(not associated),Not Probing,52:93:C6
46:EF:94:CB:65:8D,1690537910,1690537910,-65,2,(not associated),region,46:EF:94
12:87:3D:9A:03:06,1690537910,1690537910,-41,1,(not associated),Not Probing,12:87:3D
A6:32:CB:E3:16:3D,1690537911,1690537911,-57,1,(not associated),region,A6:32:CB
9E:65:75:83:19:78,1690537911,1690537911,-57,1,(not associated),Not Probing,9E:65:75
72:E8:4B:39:AD:51,1690537911,1690537911,-59,1,(not associated),iPhone (Максим),72:E8:4B
72:AB:EB:90:13:CB,1690537911,1690537911,-61,1,(not associated),Not Probing,72:AB:EB
12:B1:F6:C6:EE:6C,1690537911,1690537911,-55,1,(not associated),Not Probing,12:B1:F6
E2:84:FF:16:2A:C6,1690537911,1690537911,-57,1,(not associated),Avenue611,E2:84:FF
96:83:DF:AF:51:B8,1690537911,1690537911,-63,1,(not associated),iPhone (Дима ),96:83:DF
32:89:D4:EA:6C:79,1690537911,1690537911,-65,1,(not associated),HONOR 30,32:89:D4
36:52:F1:C8:67:A3,1690537911,1690537911,-61,2,(not associated),iPhone (Дима ),36:52:F1
